trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
272,False,"{'a': 0.01, 'e': 0.06653680671501686}",20,15,10.323531569447963,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.01, 'e': 0.06587475442640295}",20,14,12.338960640840398,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.01, 'e': 0.06521928966812753}",30,12,7.871201930131834,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
275,False,"{'a': 0.01, 'e': 0.06457034689316847}",20,0,23.021227288017627,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
276,False,"{'a': 0.01, 'e': 0.06392786120670757}",25,9,21.630029622342523,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.01, 'e': 0.0632917683596407}",25,2,26.28795063751787,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
278,False,"{'a': 0.01, 'e': 0.06266200474215315}",25,12,20.690258369581926,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.01, 'e': 0.06203850737735829}",20,14,12.421003574359109,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.01, 'e': 0.06142121391500013}",20,3,29.70924519253822,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.01, 'e': 0.06081006262521795}",30,12,31.89112930493028,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.01, 'e': 0.06020499239237354}",20,10,20.406784629553744,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.01, 'e': 0.05960594270893937}",25,7,29.124333347786635,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.01, 'e': 0.05901285366944784}",20,0,29.831647730855693,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
285,False,"{'a': 0.01, 'e': 0.05842566596450083}",25,8,29.161851056543945,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.01, 'e': 0.057844320874838456}",20,0,25.629306982096097,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
